               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.017488,            0.010264,            0.018874,               0.783,             0.83333,             0.91075,             0.82169,           0.0068665,           0.0028709,           0.0069057,            0.070423,           0.0032864,           0.0032864
                   1,            0.024955,            0.010872,             0.01829,             0.57146,             0.79167,             0.79868,             0.67876,            0.014111,           0.0030577,           0.0065657,            0.040291,           0.0064886,           0.0064886
                   2,            0.029197,            0.011708,            0.017591,             0.68388,             0.67056,             0.83242,             0.68172,            0.015171,           0.0028633,           0.0061572,            0.010028,           0.0095589,           0.0095589
                   3,            0.030102,            0.011471,            0.016968,             0.82667,             0.76292,             0.89216,             0.74523,            0.015719,            0.002947,           0.0048963,            0.009406,            0.009406,            0.009406
                   4,            0.031547,            0.012039,            0.016309,             0.87063,             0.79055,             0.89916,             0.85511,            0.014152,           0.0029416,           0.0045629,            0.009406,            0.009406,            0.009406
                   5,             0.02914,            0.011362,            0.015603,             0.91365,             0.74052,             0.99147,             0.93676,             0.01065,           0.0026657,           0.0045127,            0.009208,            0.009208,            0.009208
                   6,            0.027759,            0.010829,            0.013974,             0.83598,             0.95833,             0.98786,             0.80739,            0.011832,           0.0029824,           0.0039172,             0.00901,             0.00901,             0.00901
                   7,            0.025334,            0.010652,            0.014372,              0.8807,             0.86508,              0.9575,             0.86926,           0.0079059,           0.0034916,           0.0032266,            0.008812,            0.008812,            0.008812
                   8,            0.026151,            0.010222,            0.015849,             0.82925,               0.935,             0.99094,             0.87725,           0.0093737,           0.0038811,           0.0043575,            0.008614,            0.008614,            0.008614
                   9,            0.024197,            0.010197,            0.014142,              0.9776,                   1,               0.995,             0.91427,           0.0076579,           0.0040626,           0.0031071,            0.008416,            0.008416,            0.008416
                  10,            0.022677,           0.0090899,            0.013679,              0.8935,             0.98251,               0.995,             0.91827,           0.0081767,           0.0032676,            0.002445,            0.008218,            0.008218,            0.008218
                  11,            0.021941,           0.0095947,            0.013139,             0.84222,             0.90162,             0.99147,             0.92259,           0.0059561,           0.0032636,           0.0044127,             0.00802,             0.00802,             0.00802
                  12,            0.020167,           0.0089752,            0.012387,             0.87563,             0.96322,             0.99313,             0.79351,           0.0080023,           0.0028079,           0.0030575,            0.007822,            0.007822,            0.007822
                  13,            0.022295,           0.0091734,            0.012855,             0.90038,             0.94525,             0.99094,             0.87394,           0.0065926,            0.003174,           0.0028618,            0.007624,            0.007624,            0.007624
                  14,             0.01923,            0.008652,             0.01159,             0.95188,             0.99255,               0.995,             0.85742,           0.0065974,           0.0036389,           0.0022395,            0.007426,            0.007426,            0.007426
                  15,            0.020382,           0.0093066,            0.013132,             0.98067,             0.96427,               0.995,             0.84022,           0.0062274,           0.0026451,           0.0020344,            0.007228,            0.007228,            0.007228
