               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,           0.0092424,           0.0055807,            0.006568,              0.9964,             0.97506,             0.99448,             0.92003,           0.0027138,             0.00256,          0.00086747,            0.070682,           0.0032576,           0.0032576
                   1,           0.0096943,           0.0057323,           0.0053043,             0.95942,                   1,             0.99361,             0.88877,           0.0060833,           0.0029121,          0.00088621,            0.040464,           0.0063734,           0.0063734
                   2,            0.015313,           0.0064841,           0.0065021,             0.89358,             0.98193,             0.99072,             0.75086,           0.0092068,           0.0030283,           0.0016768,            0.010027,           0.0092692,           0.0092692
                   3,            0.018193,           0.0076553,           0.0079615,             0.85305,             0.98214,             0.94862,             0.74504,           0.0097786,           0.0037942,          0.00095733,             0.00901,             0.00901,             0.00901
                   4,             0.01783,           0.0070401,           0.0052957,             0.99121,             0.93669,             0.99159,             0.90576,           0.0053811,           0.0025994,           0.0010377,             0.00901,             0.00901,             0.00901
                   5,            0.014437,           0.0067113,           0.0041654,             0.94538,             0.97846,              0.9867,             0.93482,           0.0074519,           0.0024657,           0.0015183,             0.00868,             0.00868,             0.00868
                   6,            0.016764,           0.0067236,           0.0066542,             0.91249,             0.96047,             0.98461,             0.88882,           0.0054765,           0.0023419,           0.0021811,             0.00835,             0.00835,             0.00835
                   7,            0.015742,            0.006975,           0.0067329,             0.97812,              0.9497,             0.98639,             0.87897,           0.0061575,           0.0024051,           0.0017842,             0.00802,             0.00802,             0.00802
                   8,            0.012795,            0.006373,            0.004792,             0.95584,             0.95855,             0.98785,              0.9055,           0.0055504,           0.0029338,           0.0015654,             0.00769,             0.00769,             0.00769
                   9,            0.013007,           0.0064845,           0.0062056,             0.91763,             0.88636,             0.98402,             0.90268,           0.0057337,           0.0043137,           0.0033786,             0.00736,             0.00736,             0.00736
                  10,            0.013965,           0.0068599,           0.0052746,             0.91416,             0.88636,             0.97474,             0.88882,           0.0048593,           0.0040741,            0.003617,             0.00703,             0.00703,             0.00703
                  11,            0.014942,           0.0067085,           0.0077543,             0.93408,             0.90909,             0.96504,             0.87073,           0.0042469,           0.0030885,           0.0027812,              0.0067,              0.0067,              0.0067
                  12,            0.012153,           0.0063405,           0.0069939,             0.91274,             0.90193,             0.97059,             0.85472,           0.0054656,           0.0029715,           0.0036917,             0.00637,             0.00637,             0.00637
                  13,             0.01259,           0.0062915,           0.0056509,             0.91595,             0.95168,             0.98216,             0.88583,           0.0046175,            0.002749,           0.0024521,             0.00604,             0.00604,             0.00604
                  14,            0.013795,           0.0066483,            0.004601,              0.9336,              0.9313,             0.98098,             0.88039,           0.0042702,           0.0029737,           0.0025366,             0.00571,             0.00571,             0.00571
                  15,            0.013987,           0.0066576,           0.0078554,             0.90952,             0.93182,             0.98192,              0.8775,           0.0045448,           0.0040903,           0.0028598,             0.00538,             0.00538,             0.00538
                  16,            0.010855,           0.0061556,           0.0054129,             0.91493,              0.9499,              0.9842,             0.92297,           0.0041544,           0.0033439,           0.0022393,             0.00505,             0.00505,             0.00505
                  17,             0.01183,           0.0055797,           0.0052603,             0.93892,             0.95086,             0.97848,             0.91059,           0.0036517,           0.0029061,           0.0021003,             0.00472,             0.00472,             0.00472
                  18,             0.01208,           0.0063155,           0.0059275,             0.96047,             0.95268,             0.97988,             0.93195,           0.0033351,           0.0026553,           0.0018284,             0.00439,             0.00439,             0.00439
                  19,            0.011364,           0.0061102,           0.0060698,              0.9445,             0.95277,             0.97988,             0.92224,           0.0030026,           0.0027089,           0.0019889,             0.00406,             0.00406,             0.00406
                  20,           0.0093512,           0.0058838,            0.005738,             0.89762,             0.93951,             0.97421,             0.88843,           0.0031297,           0.0033902,           0.0029135,             0.00373,             0.00373,             0.00373
                  21,            0.009425,           0.0056458,           0.0059666,             0.91316,             0.91788,             0.97966,             0.91697,           0.0035123,           0.0036534,           0.0030772,              0.0034,              0.0034,              0.0034
                  22,            0.010168,            0.006023,           0.0056102,              0.9133,             0.92658,             0.98879,             0.93705,           0.0028456,           0.0032843,           0.0026404,             0.00307,             0.00307,             0.00307
                  23,           0.0086875,           0.0056798,           0.0062315,             0.92206,             0.95287,             0.99292,             0.91953,           0.0028523,           0.0035219,           0.0019057,             0.00274,             0.00274,             0.00274
                  24,             0.01021,           0.0056342,           0.0092301,             0.98269,             0.96146,             0.99361,             0.91843,           0.0029468,           0.0037477,           0.0011683,             0.00241,             0.00241,             0.00241
                  25,           0.0090911,           0.0055264,           0.0073609,             0.96397,             0.97369,             0.99292,             0.94272,           0.0025125,           0.0037289,           0.0012688,             0.00208,             0.00208,             0.00208
                  26,           0.0073532,           0.0054329,           0.0058088,             0.95887,              0.9732,             0.99241,             0.93822,           0.0026242,           0.0037821,           0.0013494,             0.00175,             0.00175,             0.00175
                  27,           0.0066538,           0.0053592,           0.0059734,             0.92944,             0.97312,             0.98741,             0.91743,           0.0027016,           0.0039454,           0.0017622,             0.00142,             0.00142,             0.00142
                  28,           0.0062923,           0.0052376,           0.0061258,             0.92551,             0.97727,             0.98861,             0.90751,           0.0028085,           0.0037463,           0.0018381,             0.00109,             0.00109,             0.00109
                  29,           0.0075179,           0.0053284,           0.0056216,             0.92597,             0.97727,              0.9893,             0.91805,           0.0026218,           0.0037397,           0.0017942,             0.00076,             0.00076,             0.00076
